Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
...A MÍR BUDE!,0060652,1962,dokument,KF-K 632,KF-K 632,2014,Barrandov,HD telecine,"625,038800",,
A VÁŠEŇ VÍTĚZÍ,0010021,1918,hraný,HF-K 5002,x,2015,Barrandov,HD telecine,"1551,080000",,
A. M. BROUSIL 50,0067962,1957,dokument,KF-K 42529,KF-K 42529,2015,Barrandov,HD telecine,"328,240000",,
ABECEDA UHLÍ,0060661,1942,dokument,KF-K 13460,KF-K 13460,2014,Česká televize,HD telecine,"215,920000",,
ADÉLA JEŠTĚ NEVEČEŘELA,0011145,1977,hraný,HF-N 3226,HF-N 3226,2015,Magyar Filmlabor,4K sken / 2K postprodukce,"6156,760000",Digitálně restaurováno EEA,
ADELHEID,0011146,1969,hraný,HF-N 1212,HF-N 1212,2015,Magyar Filmlabor,4K sken / 2K postprodukce,"5963,885200",Digitálně restaurováno EEA,
"ADÍ, MEDVÍDEK MÝVAL ",4000146,1931,animovaný,KF-K 42399,x,2012,Barrandov,HD telecine,"231,000000",pro DVD Český animovaný film 1925-1945,
AEIOU,0012106,1990,hraný,HF-K 1612,HF-K 1612,2016,Česká televize,HD telecine,"3 357,80",,
AFRIČTÍ TRPASLÍCI,0060668,1953,dokument,KF-K 9495,KF-K 9495,2016,Barrandov,HD telecine,"636,04",,
AFRIKA I (Z MAROKA NA KILIMANDŽARO),0060347,1952,dokument,KF-K 8083,KF-K 8083,2014,Barrandov,HD telecine,"5798,040000",,
AFRIKA II  (OD ROVNÍKU KE STOLOVÉ HOŘE),0060669,1953,dokument,KF-K 8084,KF-K 8084,2014,Barrandov,HD telecine,"4017,400000",,
AGNEŽKA,0012432,1977,hraný,KF-K 27046,KF-K 27046,2015,Barrandov,HD telecine,"562,866800",,
AHASVER,0010008,1915,hraný,HF-K 23792,x,2015,Barrandov,HD telecine,"804,040000",,
"ACH, PANÍ FUDŽI!",0060673,1964,dokument,KF-K 6299,KF-K 6299,2016,Barrandov,HD telecine,"625,92",,
ALIBI,0060683,1950,dokument,KF-K 2744,KF-K 2744,2014,Česká televize,HD telecine,"765,000000",,
ALŠŮV ROK,0060684,1953,dokument,KF-K 28061,KF-K 28061,2015,Barrandov,HD telecine,"1153,040000",,
"ANTON ŠPELEC, OSTROSTŘELEC",0010623,1932,hraný,HF-K 31387,HF-K 31387,2013,Barrandov,HD telecine,"4793,600000",,
"ANTONÍN J. ČERMÁK, MAYOR CHICKAGSKÝ ",0060695,1936,dokument,KF-K 5665,x,2014,Barrandov,HD telecine,"1496,160000","pozor, na část z USA (od 00:20:08:13 s do konce) nemáme práva",
ARCHA BLÁZNŮ ANEB VYPRÁVĚNÍ Z KONCE ŽIVOTA,0011885,1990,hraný,HF-K 22956,HF-K 22956,2016,Barrandov,HD telecine,"6 119,00",,
ARCHIVNÍ ZÁBĚRY ÚEF ČSAV PRAHA,,,,KF-K 42752,x,2016,Barrandov,HD telecine,,,
ARIE PRERIE,4000503,1949,animovaný,KF-K 1205,KF-K 1205,2014,Barrandov,HD telecine,"1149,480000",,
AŤ ŽIJE NEBOŽTÍK,0010626,1935,hraný,HF-DP 12843,HF-DP 12843,2016,Barrandov,HD telecine,"5 003,04","puvodni verze z kopie HF-K 20584 mela chyby v obraze, nasledne prepsano z DP. mame oboji",
AŤ ŽIJE REPUBLIKA,0010975,1965,hraný,HF-DP 3629,HF-DP 3629,2014,Barrandov,HD telecine,"7641,640000",,
AŤ ŽIJÍ DUCHOVÉ!,0011151,1977,hraný,HF-K 13141,HF-K 13141,2014,Barrandov,HD telecine,"4849,160000",,
ATENTÁT,0028649,1964,hraný,HF K-28649,HF K-28649,5.12.2016,FLB,HD telecine,,,
AUTA BEZ DOMOVA,0060717,1959,dokument,KF-K 24869,KF-K 24869,2016,Barrandov,HD telecine,"381,84",,
AUTÍČKOVÁ ROMANCE,4001330,1990,animovaný,KF-K 34133,KF-K 34133,2015,Barrandov,HD telecine,"622,520000",,
AUTOMATISACE V ČESKOSLOVENSKÉM AUTOMOBILOVÉM PRŮMYSLU,0060720,1957,dokument,KF-K 2953,KF-K 2953,2015,Barrandov,HD telecine,"671,800000",,
AŽ JÁ BUDU VELKÝ,4000510,1963,animovaný,KF-K 5356,KF-K 5356,2015,Barrandov,HD telecine,"550,880000",,
AŽ PŘIJDE KOCOUR,0010979,1963,hraný,HF-K 22348,HF-K 22348,2015,Barrandov,HD telecine,"5971,080000",,
BABIČKA,0010627,1940,hraný,HF-K 22912,HF-K 22912,2014,Barrandov,HD telecine,"5447,880000",,
BABIČKA VYPRÁVÍ POHÁDKU,4000512,1973,animovaný,KF-K 10663,KF-K 10663,2016,Barrandov,HD telecine,"370,56",,
BÁJEČNÍ MUŽI S KLIKOU,0011160,1978,hraný,HF-K 31520,HF-K 31520,2014,Barrandov,HD telecine,"5089,200000",,
BAKULOVI ZPĚVÁČCI,0060725,1931,dokument,KF-K 36780,KF-K 36780,2013,Česká televize,HD telecine,"907,280000",,
BALADA CAPARTOVA,3620733,1968,amatérský dokumentární,KF-K 45799,KF-K 45799,2016,Barrandov,HD telecine,"884,04",,
BALKÁNSKÁ VÁLKA,3501976,1913,dokument,KF-K 843,x,2016,Barrandov,HD telecine,"516,04",,
"BANGKA, LOTERIE S DVOJÍ ZÁRUKOU",0060730,1963,dokument,KF-K 6386,KF-K 6386,2015,Barrandov,HD telecine,"810,040000",,
BARBORA ŘÁDÍ,0010595,1935,hraný,HF-K 24502,HF-K 24502,2016,Barrandov,HD telecine,"4 721,04",,
BARON PRÁŠIL,0010980,1961,hraný,,,2016,UPP,4K sken,"4 869,48","digitálně restaurováno. Na LTO paskach ulozeny surove skeny. Mame zaarchivovano DCP, HD master, UHD master, IMF",
BATALION,0010206,1927,hraný,HF-K 27291,x,2016,Barrandov,HD telecine,"4 646,04",,
BATANAGAR,3500104,1938,dokument,KF-K 009982,KF-K 009982,2016,Barrandov,HD telecine,"936,04",,
BĚDA TOMU SKRZE NĚHOŽ PŘICHÁZÍ POHORŠENÍ,0063522,1950,dokument,KF-K 002160,KF-K 002160,2015,Barrandov,HD telecine,"791,040000",,
BERLÍN - SRPEN 1961,0060548,1961,dokument,KF-K  007929,KF-K  007929,27.3.2017,FLB,HD telecine,"1 437,00",,
BETLÉM,4000521,1947,animovaný,KF-K 019073,KF-K 019073,2014,Barrandov,HD telecine,"637,560000",epizoda z pásma Špalíček (1947),
BEZSTAROSTNÉ CESTOVÁNÍ PO ŽELEZNICI,0060751,1937,dokument,KF-K 005653,KF-K 005653,2015,Barrandov,HD telecine,"1137,040000",,
BÍLÁ NEMOC,0010632,1937,hraný,,,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"6253,320000",Digitálně restaurováno EEA,
BÍLÁ PANÍ,0010983,1965,hraný,HF-D 5994,HF-D 5994,2016,Barrandov,HD telecine,"5 472,04",,
BÍLÁ TELČ,0060755,1948,dokument,KF-K 40714,KF-K 40714,2016,Barrandov,HD telecine,"499,04",,
BÍLÁ TMA,0010418,1948,hraný,HF-K 022896,HF-K 022896,2014,Česká televize,HD telecine,"6210,200000",,
BÍLÁ VRÁNA,0010026,1938,hraný,HF-K 014019,HF-K 014019,2015,Barrandov,HD telecine,"6515,080000",,
BÍLÝ JELEN ,4000524,1932,animovaný,KF-K 013645,x,2012,Barrandov,HD telecine,"301,000000",pro DVD Český animovaný film 1925-1945,
BIMBOVO SMUTNÉ DOBRODRUŽSTVÍ ,4000525,1930,animovaný,KF-DP 011890,x,2012,Barrandov,HD telecine,"615,750000",pro DVD Český animovaný film 1925-1945,
BITVA POD ZEMÍ,0060760,1949,dokument,KF-K 005754,KF-K 005754,2014,Barrandov,HD telecine,"863,040000",,
